City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Garwa,24.1833,83.8167,83.14,64,100,9.62,IN,2022-06-15 18:43:17
68,Qaanaaq,77.484,-69.3632,30.61,68,100,1.43,GL,2022-06-15 18:43:17
69,Yumen,40.2833,97.2,76.71,8,100,4.83,CN,2022-06-15 18:43:17
70,Kodiak,57.79,-152.4072,53.11,82,100,9.22,US,2022-06-15 18:43:18
71,Lavrentiya,65.5833,-171.0,37.15,94,99,7.78,RU,2022-06-15 18:43:18
72,Poum,-20.2333,164.0167,76.51,80,0,12.48,NC,2022-06-15 18:43:18
73,Sorland,67.667,12.6934,48.06,81,9,5.08,NO,2022-06-15 18:43:19
74,Portland,45.5234,-122.6762,67.21,63,75,5.75,US,2022-06-15 18:41:42
75,Quisqueya,18.5554,-69.4081,87.69,54,100,11.74,DO,2022-06-15 18:43:19
76,Neiafu,-18.65,-173.9833,77.68,78,20,2.3,TO,2022-06-15 18:43:19
77,Thompson,55.7435,-97.8558,68.16,60,40,10.36,CA,2022-06-15 18:43:19
78,Faya,18.3851,42.4509,80.71,15,84,15.59,SA,2022-06-15 18:43:20
79,Klyuchi,52.2667,79.1667,62.85,61,94,7.09,RU,2022-06-15 18:43:20
80,Mar Del Plata,-38.0023,-57.5575,57.22,78,0,8.05,AR,2022-06-15 18:39:10
81,Grand Forks,47.9417,-97.4337,75.13,41,20,17.27,US,2022-06-15 18:43:20
82,Saint-Augustin,51.226,-58.6502,69.67,37,60,14.61,CA,2022-06-15 18:43:21
83,Slave Lake,55.2834,-114.769,57.18,72,100,17.27,CA,2022-06-15 18:41:44
84,Itaituba,-4.2761,-55.9836,78.96,89,20,3.44,BR,2022-06-15 18:43:21
85,Upernavik,72.7868,-56.1549,32.04,69,100,3.89,GL,2022-06-15 18:43:21
86,Dabas,47.1859,19.3109,73.92,52,18,2.66,HU,2022-06-15 18:43:22
87,New Norfolk,-42.7826,147.0587,44.92,90,90,1.1,AU,2022-06-15 18:43:22
88,Northam,51.0333,-4.2167,61.61,72,90,6.85,GB,2022-06-15 18:43:22
89,Saint George,37.1041,-113.5841,89.64,10,0,3.0,US,2022-06-15 18:41:02
90,Avarua,-21.2078,-159.775,77.05,83,12,10.36,CK,2022-06-15 18:43:28
91,Foumbot,5.5079,10.6356,65.75,94,19,2.1,CM,2022-06-15 18:44:23
92,Berlevag,70.8578,29.0864,42.75,87,100,10.36,NO,2022-06-15 18:44:23
93,Port Elizabeth,-33.918,25.5701,49.1,87,20,14.97,ZA,2022-06-15 18:43:39
94,Atuona,-9.8,-139.0333,78.04,72,56,20.69,PF,2022-06-15 18:43:25
95,Bartica,6.4,-58.6167,84.52,89,61,4.09,GY,2022-06-15 18:44:23
96,Aloleng,16.1307,119.7824,80.8,84,75,6.2,PH,2022-06-15 18:44:24
97,Nadym,65.5333,72.5167,50.74,84,69,13.65,RU,2022-06-15 18:42:13
98,Cape Town,-33.9258,18.4232,52.92,80,0,4.0,ZA,2022-06-15 18:41:09
99,Labuhan,-6.8844,112.2051,77.7,89,74,8.28,ID,2022-06-15 18:44:24
100,Port Alfred,-33.5906,26.891,54.59,68,88,20.65,ZA,2022-06-15 18:43:26
101,Porto Novo,6.4965,2.6036,76.82,92,100,5.14,BJ,2022-06-15 18:44:14
102,Saint-Philippe,-21.3585,55.7679,69.39,86,57,15.37,RE,2022-06-15 18:43:28
103,Khani,41.9563,42.9566,58.57,99,99,1.19,GE,2022-06-15 18:44:25
